DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2003,9.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2004,10.6,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2005,10.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2006,9.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2007,8.4,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2008,7.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2009,9.6,b
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2010,12.7,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2011,17.9,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2012,24.5,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2013,27.5,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2014,26.5,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2015,24.9,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2016,23.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2017,21.5,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2018,19.3,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2019,17.3,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EL,2020,16.3,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2000,9.7,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2001,9.3,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2002,9.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2003,9.7,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2004,9.9,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2005,9.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2006,8.6,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2007,7.5,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2008,7.2,
